V1,V2
CGND-HRA-00589-v2-2-grch38,53993979
CGND-HRA-00590-v2-2-grch38,42368318
CGND-HRA-00591-2,38725127
CGND-HRA-00592-v2-2-grch38,47946552
CGND-HRA-00593-v2-2-grch38,38034642
CGND-HRA-00594-v2-2-grch38,34707600
CGND-HRA-00595-v2-2-grch38,59867205
CGND-HRA-00596-v2-2-grch38,35963223
CGND-HRA-00598-v2-2-grch38,43396905
CGND-HRA-00599-v2-2-grch38,29151968
CGND-HRA-00600-v2-2-grch38,36628762
CGND-HRA-00601-v2-2-grch38,54239275
CGND-HRA-00603-v2-2-grch38,45903067
CGND-HRA-00604-v2-2-grch38,45116877
CGND-HRA-00605-v2-2-grch38,76127127
CGND-HRA-00606-v2-2-grch38,43815749
CGND-HRA-00607-v2-2-grch38,42972881
CGND-HRA-00608-v2-2-grch38,31910079
CGND-HRA-00609-v2-2-grch38,42066934
CGND-HRA-00610-v2-2-grch38,43346764
CGND-HRA-00611-v2-2-grch38,36478366
CGND-HRA-00612-v2-2-grch38,56718898
CGND-HRA-00613-v2-2-grch38,42492426
CGND-HRA-00614-v2-2-grch38,38832109
CGND-HRA-00615-v2-2-grch38,38208864
CGND-HRA-00616-v2-2-grch38,36856457
CGND-HRA-00617-2-v2-2-grch38,33383526
CGND-HRA-00618-v2-2-grch38,23979783
CGND-HRA-00620-v2-2-grch38,42730233
CGND-HRA-00621-v2-2-grch38,36671998
CGND-HRA-00622-v2-2-grch38,50745889
CGND-HRA-00623-v2-2-grch38,39119498
CGND-HRA-00624-v2-2-grch38,50702384
CGND-HRA-00625-v2-2-grch38,40047319
CGND-HRA-00626-v2-2-grch38,40276337
CGND-HRA-00627,41193956
CGND-HRA-00628,42184004
CGND-HRA-00629,43194917
CGND-HRA-00630,39408382
CGND-HRA-00631-v2-2-grch38,43081378
CGND-HRA-00633-v2-2-grch38,39752406
CGND-HRA-00634-v2-2-grch38,44378307
CGND-HRA-00636-v2-2-grch38,32602846
CGND-HRA-00637-v2-2-grch38,33242102
CGND-HRA-00638-v2-2-grch38,39261561
CGND-HRA-00639-2,27488131
CGND-HRA-00640-v2-2-grch38,23236469
CGND-HRA-00641-v2-2-grch38,32927701
CGND-HRA-00642-v2-2-grch38,31521397
CGND-HRA-00643-v2-2-grch38,54420078
CGND-HRA-00644-v2-2-grch38,37982127
CGND-HRA-00645-v2-2-grch38,30585512
CGND-HRA-00646,34106190
CGND-HRA-00647,38503741
CGND-HRA-00648-v2-2-grch38,45221347
CGND-HRA-00649-v2-2-grch38,39619765
CGND-HRA-00650-v2-2-grch38,49185229
CGND-HRA-00651-v2-2-grch38,40835573
CGND-HRA-00652-v2-2-grch38,43017207
