gene_name,gene_id,nmd_call,total_rna,experiment_clean,max_exp2
UBE2Q2P2,ENSG00000259429,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
"",ENSG00000259953,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
SYT3,ENSG00000213023,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
DENND1B,ENSG00000213047,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 10%
ZNF337-AS1,ENSG00000213742,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ZNF90,ENSG00000213988,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RNF115,ENSG00000265491,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
SEPTIN7P2,ENSG00000214765,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 50%
"",ENSG00000268400,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
H4C14,ENSG00000270882,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
U2AF1L5,ENSG00000275895,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
FADS3,ENSG00000221968,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 50%
PRRT4,ENSG00000224940,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 30%
WASH7P,ENSG00000227232,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
GUSBP11,ENSG00000228315,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
"",ENSG00000287394,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
ZNF826P,ENSG00000231205,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
ZNF826P,ENSG00000231205,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 70%
LINC01102,ENSG00000235597,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
SMG1P1,ENSG00000237296,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
RBM14,ENSG00000239306,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
ERICH6-AS1,ENSG00000240137,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
PEDS1,ENSG00000240849,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
"",ENSG00000242593,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
NAIPP3,ENSG00000248477,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TNFSF12,ENSG00000239697,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
TNFSF12-TNFSF13,ENSG00000248871,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
SHANK3,ENSG00000251322,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
"",ENSG00000244932,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
RPL32P3,ENSG00000251474,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
"",ENSG00000258240,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
UBE2F-SCLY,ENSG00000258984,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
BMS1P8,ENSG00000260518,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
"",ENSG00000260537,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
BAHCC1,ENSG00000266074,non-NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,> 10%
BAHCC1,ENSG00000266074,NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,> 10%
"",ENSG00000267002,non-NMD rescued, upregulated, TDP-43 KD - SH-SY5Y,> 10%
"",ENSG00000268575,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
NBPF9,ENSG00000269713,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
TAF15,ENSG00000270647,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
CYB561D2,ENSG00000271858,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
"",ENSG00000272693,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
"",ENSG00000275665,non-NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 10%
"",ENSG00000283674,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
"",ENSG00000287908,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
L3MBTL1,ENSG00000185513,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,> 50%
"",ENSG00000288000,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,> 50%
"",ENSG00000288550,NMD rescued,N.S., TDP-43 KD - SH-SY5Y,Dark cryptic
DUS4L-BCAP29,ENSG00000288558,NMD rescued,downregulated, TDP-43 KD - SH-SY5Y,Dark cryptic
