Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensgene,symbol
ENSG00000070214.16,3651.3115407736,-0.0806323139661673,0.0784568428724936,-1.02772825178817,0.304077674438128,0.409609939063005,ENSG00000070214,SLC44A1
ENSG00000070269.14,1505.2533019473,0.00219524742459355,0.053231253676287,0.0412398219651827,0.96710470732425,0.977381489358909,ENSG00000070269,TMEM260
ENSG00000070366.14,3834.83728496265,-0.127546671278708,0.0409696139227536,-3.11320168940795,0.00185069496615722,0.00507249761801848,ENSG00000070366,SMG6
ENSG00000070367.16,13559.8547409904,0.00690477647593622,0.0309955516181393,0.222766691201436,0.823717093170362,0.876380858547924,ENSG00000070367,EXOC5
ENSG00000070371.16,666.312357713729,0.189267660491529,0.0896727473567901,2.11064862034917,0.0348025252852498,0.0669308017272124,ENSG00000070371,CLTCL1
ENSG00000070404.10,444.407817204817,0.150762693221456,0.100517570484774,1.49986407843287,0.133649614596193,0.209975460521016,ENSG00000070404,FSTL3
ENSG00000070413.20,4804.81512438923,-0.0844104029137614,0.0344754866603301,-2.44841802366462,0.0143485076845382,0.0308953985515918,ENSG00000070413,DGCR2
ENSG00000070423.18,1089.30440336129,0.151673601914043,0.0703020176765651,2.15745730957311,0.0309700499919644,0.0604486108589468,ENSG00000070423,RNF126
ENSG00000070444.15,2036.92459566214,0.0626505508423941,0.0498639291606769,1.25643028732282,0.208960006338686,0.30298598033921,ENSG00000070444,MNT
ENSG00000070476.15,1338.94678603813,-0.130231173105968,0.0649545630864282,-2.00495803401345,0.0449675336474812,0.083194241311582,ENSG00000070476,ZXDC
ENSG00000070495.15,3396.38607760905,0.158379754064863,0.0759203454451079,2.08613057720311,0.0369667966053908,0.0702223816979332,ENSG00000070495,JMJD6
ENSG00000070501.12,2384.59092951039,-0.0734997656893602,0.0459020115906728,-1.60123190993868,0.109325563667878,0.177417512519145,ENSG00000070501,POLB
ENSG00000070540.13,771.460435904181,0.546582298742988,0.105063642718905,5.20239242232782,1.96739246803765e-07,1.15452213771252e-06,ENSG00000070540,WIPI1
ENSG00000070610.14,4924.91875242996,0.0197579548496451,0.0772560120865318,0.255746502000581,0.798146585490654,0.856492256962829,ENSG00000070610,GBA2
ENSG00000070614.15,7971.53482711658,-0.0671729190331326,0.0543932586697965,-1.23494934254477,0.216849357927429,0.31222729005274,ENSG00000070614,NDST1
ENSG00000070669.17,23255.1881247382,0.0426476757639071,0.0588154897574641,0.725109591704027,0.468384800524849,0.57350545041604,ENSG00000070669,ASNS
ENSG00000070718.12,2629.72085636532,-0.388235370128027,0.0403503796926208,-9.62160388788179,6.48125566407384e-22,1.56597108006584e-20,ENSG00000070718,AP3M2
ENSG00000070729.14,531.97644614416,0.457850596923426,0.173426697691645,2.64002372770477,0.00829002228815952,0.0190991648466293,ENSG00000070729,CNGB1
ENSG00000070748.19,973.782934031707,0.586583178744789,0.0588689834271319,9.96421450815203,2.18594922660212e-23,5.75770777421993e-22,ENSG00000070748,CHAT
ENSG00000070756.17,35399.0396725909,-0.0486331835710107,0.0581774559636374,-0.835945518164422,0.403185553611331,0.511265976541458,ENSG00000070756,PABPC1
ENSG00000070761.8,2925.36468581784,-0.0173658716115022,0.0414532678966751,-0.418926480170097,0.67526986381369,0.755998287866292,ENSG00000070761,CFAP20
ENSG00000070770.10,5788.33285050417,-0.047720067442264,0.0370420172172525,-1.28826859407749,0.197652481556525,0.28953081243747,ENSG00000070770,CSNK2A2
ENSG00000070778.13,1274.08240970913,-0.125428221578043,0.0546290065626106,-2.29600041205745,0.0216758578156497,0.0443976976843533,ENSG00000070778,PTPN21
ENSG00000070785.17,1658.16195546509,0.210975766564139,0.0479900601190259,4.3962388469794,1.10142733788606e-05,4.87952506107208e-05,ENSG00000070785,EIF2B3
ENSG00000070808.17,973.070933044498,0.181324008028081,0.0679048046892019,2.67026772049482,0.00757907901060134,0.0176831102486899,ENSG00000070808,CAMK2A
ENSG00000070814.22,3881.81100380524,-0.143146524530682,0.036290029861802,-3.94451382585812,7.99620403529538e-05,0.000296005620210522,ENSG00000070814,TCOF1
ENSG00000070831.18,16305.2484118855,0.370540773006636,0.0461861059022539,8.02277580601472,1.03381935019231e-15,1.59568873658675e-14,ENSG00000070831,CDC42
ENSG00000070882.13,1533.05202684883,-0.191237860635762,0.0891732896191228,-2.14456438079808,0.0319876927621107,0.0622125962636469,ENSG00000070882,OSBPL3
ENSG00000070886.12,374.279157255638,-0.762946820060974,0.105842513793523,-7.20832104903829,5.66459501632955e-13,6.72684043338038e-12,ENSG00000070886,EPHA8
ENSG00000070950.10,541.97956050583,-0.121631427009794,0.135790423614533,-0.895729049016508,0.37039749178586,0.477691858632472,ENSG00000070950,RAD18
ENSG00000070961.16,18421.8271606984,0.749079824599536,0.044395249682749,16.8729724453067,7.11254246353869e-64,1.0154770853625e-61,ENSG00000070961,ATP2B1
ENSG00000071051.14,3331.871528662,-0.180643751626143,0.0528580092006147,-3.4175284759692,0.000631924830711393,0.00192893672814819,ENSG00000071051,NCK2
ENSG00000071054.17,24347.1018137635,0.0680358658622047,0.0367590363459405,1.85086097529644,0.0641895562282588,0.113444589175952,ENSG00000071054,MAP4K4
ENSG00000071073.13,5185.78067645928,0.188197016618388,0.0512258766280172,3.6738661982303,0.000238907871116387,0.000799797093713373,ENSG00000071073,MGAT4A
ENSG00000071082.11,16445.8539331675,0.143034976632545,0.0424145932925018,3.37230574500949,0.000745416488282195,0.00224213855848156,ENSG00000071082,RPL31
ENSG00000071127.17,7349.39587211062,0.0924953642065902,0.0436157574868965,2.12068686951909,0.0339481622264282,0.0655385233885746,ENSG00000071127,WDR1
ENSG00000071189.21,2957.25862027433,-0.11892924365883,0.0528447291532463,-2.25054126616758,0.0244146070260123,0.0491342499879575,ENSG00000071189,SNX13
ENSG00000071242.12,12079.8856870559,-0.280547684722544,0.0269297886646037,-10.4177455017051,2.05773064930537e-25,6.43117608902306e-24,ENSG00000071242,RPS6KA2
ENSG00000071243.16,911.836143945362,0.070362395337646,0.0594139485899317,1.18427401321665,0.236304612218801,0.335207310366605,ENSG00000071243,ING3
ENSG00000071246.11,4484.14071102228,0.182976255071558,0.047571657047373,3.84632923106602,0.0001199006287985,0.000428328547120941,ENSG00000071246,VASH1
ENSG00000071282.12,334.742987872438,-0.41896140429054,0.171041033152287,-2.44947891490761,0.0143063085712704,0.0308203808109467,ENSG00000071282,LMCD1
ENSG00000071462.12,1617.78644673491,0.0293972047697425,0.0489060533267202,0.601095422142378,0.547776432288391,0.646161214465435,ENSG00000071462,BUD23
ENSG00000071537.14,12272.1595421611,-0.133821077261894,0.0353384665534546,-3.78683882786679,0.000152575995064577,0.000532638177824771,ENSG00000071537,SEL1L
ENSG00000071539.14,529.893370716307,-0.378311999838879,0.124340036878358,-3.04255981690742,0.00234575190636212,0.00626531185194168,ENSG00000071539,TRIP13
ENSG00000071553.18,7895.99344092316,0.0990876750478605,0.0318122071189924,3.11476895259818,0.0018408904468417,0.00505109141168796,ENSG00000071553,ATP6AP1
ENSG00000071564.17,3603.48797799469,-0.486336633510115,0.0741570305277236,-6.55819994475504,5.4461156777306e-11,5.19551992217215e-10,ENSG00000071564,TCF3
ENSG00000071575.12,11405.3116497995,-0.099530233079404,0.0361983569003882,-2.74957875445271,0.00596719215451208,0.0143693878526929,ENSG00000071575,TRIB2
ENSG00000071626.17,3257.8407589556,0.0336648954386933,0.0456651765720556,0.737211546430201,0.460993712854017,0.566724560498813,ENSG00000071626,DAZAP1
ENSG00000071655.18,2319.03454780617,-0.261554641714016,0.0658965454831848,-3.9691707629918,7.21231837620204e-05,0.000270252216160461,ENSG00000071655,MBD3
ENSG00000071794.16,8262.78206619829,-0.113140366776372,0.0418740650968235,-2.70191982829378,0.0068940383445354,0.0162874572697899,ENSG00000071794,HLTF
ENSG00000071859.15,2450.38658508352,0.0809783989162028,0.0580319579949272,1.39541042063894,0.162892110716713,0.24726065954389,ENSG00000071859,FAM50A
