sample_id,library_size
CGND-HRA-00557,109574334
CGND-HRA-00558,95627506
CGND-HRA-00561,101274186
CGND-HRA-00562,108927092
CGND-HRA-00571,162202366
CGND-HRA-00572,49927602
CGND-HRA-00573,95044530
CGND-HRA-00574,86113220
CGND-HRA-00575,85376050
CGND-HRA-00576,106419166
CGND-HRA-00577,103414140
CGND-HRA-00578,77521238
CGND-HRA-00579,85025128
CGND-HRA-00580,58849236
CGND-HRA-00581,202464440
CGND-HRA-00582,77835314
CGND-HRA-00583,97531306
CGND-HRA-00584,87700678
CGND-HRA-00585,123326524
CGND-HRA-00590,95441082
CGND-HRA-00593,84471654
CGND-HRA-00596,82985530
CGND-HRA-00598,95684806
CGND-HRA-00601,131098302
CGND-HRA-00631,99767570
CGND-HRA-00633,90150170
CGND-HRA-00634,107552314
CGND-HRA-00240,83771264
CGND-HRA-00243,60272248
CGND-HRA-00244,63214514
CGND-HRA-00249,89127128
CGND-HRA-00271,88693730
CGND-HRA-00273,84873028
CGND-HRA-00548,76088906
CGND-HRA-00552,80672618
CGND-HRA-00586,106251170
CGND-HRA-00587,45952178
CGND-HRA-00588,78221460
CGND-HRA-00589,129394832
CGND-HRA-00592,111133710
CGND-HRA-00594,77868672
CGND-HRA-00595,134391922
CGND-HRA-00599,66970978
CGND-HRA-00600,82851038
CGND-HRA-00603,101706960
CGND-HRA-00604,100649382
CGND-HRA-00605,173300374
CGND-HRA-00606,103602828
CGND-HRA-00609,97082324
CGND-HRA-00620,94004340
CGND-HRA-00621,82091432
CGND-HRA-00622,112249804
CGND-HRA-00623,88628898
CGND-HRA-01185,120818706
CGND-HRA-01186,79096844
CGND-HRA-01187,97157720
CGND-HRA-01204,86215560
CGND-HRA-01205,97583210
CGND-HRA-01206,107616770
CGND-HRA-01207,71331100
CGND-HRA-01208,85040264
CGND-HRA-01209,87182876
CGND-HRA-01219,84945052
CGND-HRA-01220,94789134
CGND-HRA-01222,86912732
CGND-HRA-01223,96041502
CGND-HRA-01224,75614618
CGND-HRA-01225,96196396
CGND-HRA-01227,76754434
CGND-HRA-01228,101419618
CGND-HRA-01234,104470980
CGND-HRA-01235,82675210
CGND-HRA-01236,100171658
CGND-HRA-00239,83359314
CGND-HRA-00539,82618178
CGND-HRA-00607,99232874
CGND-HRA-00608,71790872
CGND-HRA-00610,99731218
CGND-HRA-00611,79782690
CGND-HRA-00613,94683344
CGND-HRA-00614,86301060
CGND-HRA-00615,86277028
CGND-HRA-00616,82299584
CGND-HRA-01212,85374028
CGND-HRA-01213,81313968
CGND-HRA-01217,84823988
CGND-HRA-01218,85165428
CGND-HRA-01231,92310818
CGND-HRA-01232,79193106
CGND-HRA-01233,89733340
CGND-HRA-01237,53119400
CGND-HRA-01238,91811062
CGND-HRA-01239,93598100
CGND-HRA-01240,101022252
CGND-HRA-01241,84760742
CGND-HRA-01242,91063124
CGND-HRA-01243,75992730
CGND-HRA-01244,107203024
CGND-HRA-01245,70830416
CGND-HRA-01246,74125030
CGND-HRA-01247,92716534
CGND-HRA-01248,71795158
CGND-HRA-01251,85171652
CGND-HRA-01253,85669564
CGND-HRA-01254,86359954
CGND-HRA-01255,81383344
CGND-HRA-01256,105159468
CGND-HRA-01257,93949200
CGND-HRA-01258,90231760
CGND-HRA-01259,71054654
CGND-HRA-01260,80595374
CGND-HRA-01261,85140744
CGND-HRA-01263,92954638
CGND-HRA-01264,90899218
CGND-HRA-01265,86827116
CGND-HRA-01266,74188350
CGND-HRA-01267,127264452
CGND-HRA-01269,86944714
CGND-HRA-00618,53154696
CGND-HRA-01270,94015740
CGND-HRA-01283,92318790
CGND-HRA-01284,103695136
CGND-HRA-01285,100912518
CGND-HRA-01291,87899632
CGND-HRA-01292,63679654
CGND-HRA-01293,93098424
CGND-HRA-01294,92971250
CGND-HRA-01297,96262798
CGND-HRA-01298,105972976
CGND-HRA-01299,93121236
CGND-HRA-01300,130417752
CGND-HRA-01327,78010088
CGND-HRA-01328,105197046
CGND-HRA-01329,83698118
CGND-HRA-01331,46019118
CGND-HRA-01333,63719216
CGND-HRA-01335,63471152
CGND-HRA-01337,114747494
CGND-HRA-01339,75512720
CGND-HRA-01341,149101104
CGND-HRA-01342,79213336
CGND-HRA-01343,179752834
CGND-HRA-01344,65716566
CGND-HRA-01345,53871360
CGND-HRA-01349,75507014
CGND-HRA-01352,48403574
CGND-HRA-01353,63311140
CGND-HRA-01354,103528872
CGND-HRA-01355,101272420
CGND-HRA-00846,240926742
CGND-HRA-00902,46817994
CGND-HRA-00989,114590224
CGND-HRA-01169,58946554
CGND-HRA-00460,53541942
CGND-HRA-00465,64329990
CGND-HRA-00466,73838548
CGND-HRA-00469,80761238
CGND-HRA-00476,121892916
CGND-HRA-00479,51058706
CGND-HRA-00480,88567754
CGND-HRA-00481,61491744
CGND-HRA-00486,92564916
CGND-HRA-00487,79075014
CGND-HRA-00492,95601526
CGND-HRA-00636,73271320
CGND-HRA-00662,95632734
CGND-HRA-00671,181671256
CGND-HRA-00672,55979564
CGND-HRA-00746,124142434
CGND-HRA-01179,71539920
CGND-HRA-01268,74642000
