barcode,platform,replicate,bc,leiden_labels_res20,cluster,n_genes,n_counts,percent_mito,umap_1,umap_2,donor_barcode,cluster_label,cell_type,junctions
Parse-1-05_12_47__sParse,Parse,1,05_12_47__sParse,7,Glutamatergic neuron-3,4452,12489,0.0880775082072224,-1.821204,-3.2652571,05_12_47__sParse-1,Glu 3,Glutamatergic,2704
Parse-1-05_12_55__sParse,Parse,1,05_12_55__sParse,5,Mural-3,2226,3894,1.25834617360041,2.038891,5.6151404,05_12_55__sParse-1,Mural 3,Mural,1227
Parse-1-05_12_86__sParse,Parse,1,05_12_86__sParse,14,14,3186,6459,0.123858182381174,1.016645,-8.191879,05_12_86__sParse-1,14,14,1487
Parse-1-05_12_93__sParse,Parse,1,05_12_93__sParse,3,Glutamatergic neuron,2129,3640,0.357142857142857,9.976347,6.6181445,05_12_93__sParse-1,Glu 1,Glutamatergic,1378
Parse-1-05_13_01__sParse,Parse,1,05_13_01__sParse,18,GABAergic neuron,4000,10275,0.0681265206812652,-1.9341279,24.663218,05_13_01__sParse-1,GABAergic 1,GABAergic,1771
Parse-1-05_13_29__sParse,Parse,1,05_13_29__sParse,9,Glutamatergic neuron-4,3204,6760,0.0591715976331361,9.003443,11.076681,05_13_29__sParse-1,Glu 4,Glutamatergic,1028
Parse-1-05_13_33__sParse,Parse,1,05_13_33__sParse,6,GABAergic VIP interneuron,1439,2605,1.30518234165067,-2.7365868,19.010601,05_13_33__sParse-1,VIP 1,GABAergic,411
Parse-1-05_13_69__sParse,Parse,1,05_13_69__sParse,5,Mural-3,1261,2219,1.0815682739973,2.0700026,5.9491234,05_13_69__sParse-1,Mural 3,Mural,333
Parse-1-05_13_72__sParse,Parse,1,05_13_72__sParse,4,Glutamatergic neuron-2,975,1744,0.286697247706422,8.433174,6.6312675,05_13_72__sParse-1,Glu 2,Glutamatergic,253
Parse-1-05_14_05__sParse,Parse,1,05_14_05__sParse,3,Glutamatergic neuron,5216,17334,0.346140533056421,10.179237,5.1475286,05_14_05__sParse-1,Glu 1,Glutamatergic,3758
Parse-1-05_14_22__sParse,Parse,1,05_14_22__sParse,1,Mural,5122,14507,0.00689322396084648,5.8182607,9.326372,05_14_22__sParse-1,Mural 1,Mural,3373
Parse-1-05_14_33__sParse,Parse,1,05_14_33__sParse,7,Glutamatergic neuron-3,1656,2729,0.146573836570172,-1.8152412,-2.3931358,05_14_33__sParse-1,Glu 3,Glutamatergic,532
Parse-1-05_14_39__sParse,Parse,1,05_14_39__sParse,10,Glutamatergic neuron-5,2349,4406,1.29369042215161,8.103558,6.012243,05_14_39__sParse-1,Glu 5,Glutamatergic,1191
Parse-1-05_14_75__sParse,Parse,1,05_14_75__sParse,16,GABAergic SST interneuron,840,1295,2.47104247104247,-7.4008203,9.52674,05_14_75__sParse-1,SST 1,GABAergic,241
Parse-1-05_14_86__sParse,Parse,1,05_14_86__sParse,3,Glutamatergic neuron,1099,1988,0.553319919517103,9.432585,6.245731,05_14_86__sParse-1,Glu 1,Glutamatergic,397
Parse-1-05_15_49__sParse,Parse,1,05_15_49__sParse,5,Mural-3,1247,2438,3.77358490566038,2.9608786,6.3601213,05_15_49__sParse-1,Mural 3,Mural,354
Parse-1-05_15_53__sParse,Parse,1,05_15_53__sParse,17,Glutamatergic neuron-6,4776,12774,0.140911225927666,-3.1510158,11.442337,05_15_53__sParse-1,Glu 6,Glutamatergic,2901
Parse-1-05_15_61__sParse,Parse,1,05_15_61__sParse,6,GABAergic VIP interneuron,3397,7569,0.237812128418549,-2.8164563,16.517773,05_15_61__sParse-1,VIP 1,GABAergic,1743
Parse-1-05_16_36__sParse,Parse,1,05_16_36__sParse,7,Glutamatergic neuron-3,2518,4982,0.361300682456845,-2.365567,-2.7301083,05_16_36__sParse-1,Glu 3,Glutamatergic,1075
Parse-1-05_16_47__sParse,Parse,1,05_16_47__sParse,7,Glutamatergic neuron-3,6730,24668,0.105399708123885,0.5408396,-3.760063,05_16_47__sParse-1,Glu 3,Glutamatergic,5979
Parse-1-05_16_50__sParse,Parse,1,05_16_50__sParse,8,OPC,2024,3574,1.76273083379966,1.7610744,20.559631,05_16_50__sParse-1,OPC 1,OPC,668
Parse-1-05_17_07__sParse,Parse,1,05_17_07__sParse,9,Glutamatergic neuron-4,1378,2569,4.28182172051382,8.983721,10.333563,05_17_07__sParse-1,Glu 4,Glutamatergic,569
Parse-1-05_17_17__sParse,Parse,1,05_17_17__sParse,6,GABAergic VIP interneuron,3507,9243,0.530130909877745,-2.7208028,18.38922,05_17_17__sParse-1,VIP 1,GABAergic,1506
Parse-1-05_17_28__sParse,Parse,1,05_17_28__sParse,5,Mural-3,2506,4562,0.898728627794827,1.4844924,5.426659,05_17_28__sParse-1,Mural 3,Mural,1061
Parse-1-05_17_61__sParse,Parse,1,05_17_61__sParse,5,Mural-3,4965,13402,0.462617519773168,1.8350273,4.3570843,05_17_61__sParse-1,Mural 3,Mural,2651
Parse-1-05_18_01__sParse,Parse,1,05_18_01__sParse,9,Glutamatergic neuron-4,2111,3531,0.0566411781365052,8.258626,11.393106,05_18_01__sParse-1,Glu 4,Glutamatergic,865
Parse-1-05_18_46__sParse,Parse,1,05_18_46__sParse,16,GABAergic SST interneuron,873,1537,6.6363044892648,-7.73955,9.005613,05_18_46__sParse-1,SST 1,GABAergic,298
Parse-1-05_18_75__sParse,Parse,1,05_18_75__sParse,16,GABAergic SST interneuron,1046,1729,3.00751879699248,-8.24413,9.907965,05_18_75__sParse-1,SST 1,GABAergic,292
Parse-1-05_18_77__sParse,Parse,1,05_18_77__sParse,11,GABAergic PVALB interneuron,6701,28720,0.532729805013928,-9.622571,5.830917,05_18_77__sParse-1,PVALB 1,GABAergic,4625
Parse-1-05_19_17__sParse,Parse,1,05_19_17__sParse,10,Glutamatergic neuron-5,4612,11577,0.16411851084046,8.047481,4.438441,05_19_17__sParse-1,Glu 5,Glutamatergic,2385
